,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
91,Tennessee,TN,43,2011,18.3,6.5,1.9117758889226948,0.6085674178592597,3.5982267410561577,9.176713329084963,1.6793385392225482
92,Texas,TX,44,2011,18.5,5.5,2.663745697171241,0.40893128415762386,3.476222010386253,6.590716291843139,1.2192825139909806
93,Utah,UT,45,2011,13.5,5.4,0.97894110398581,0.1952114565745115,2.9760686530338436,7.402430329863117,0.9993280945315209
94,Vermont,VT,46,2011,11.5,4.3,1.3817102012761362,0.1350771630287266,2.3066777875413247,20.28692439055626,2.33299630491397
95,Virginia,VA,47,2011,11.5,4.9,1.555222183750342,0.19655222002294737,2.248333725252757,10.033927260989328,1.1539016350137727
96,Washington,WA,48,2011,13.9,6.6,1.8231567903153345,0.2947429235550734,3.576378202588189,9.135727122464568,1.2698660700225748
97,West Virginia,WV,49,2011,18.6,4.8,1.1570432704609868,0.3157354329928174,2.272745637695611,9.52208442419073,1.771107702899476
98,Wisconsin,WI,50,2011,13.1,5.5,1.5780010071358361,0.23718346909042978,2.4354423475204054,12.000649275784765,1.5720850551278043
99,Wyoming,WY,51,2011,11.3,3.5,1.8009694534980671,0.21963726359468289,2.269878846957248,11.541275380885361,1.3041641180400458
100,Alabama,AL,1,2012,19.0,5.8,2.221026281733404,0.45047458378914473,3.5069029991768397,8.524770850522577,1.6197064615992895
101,Alaska,AK,2,2012,10.1,5.3,1.865032589811936,0.6040170143323983,2.743129854074856,27.35354835461779,2.7627083838163964
102,Arizona,AZ,3,2012,18.7,5.9,2.1255527890406345,0.42880388004353337,3.5382269780310476,6.760851058008748,1.2642791478476358
103,Arkansas,AR,4,2012,19.8,5.0,2.0488005646027796,0.4686392761377755,3.6563348106677003,8.661425820160902,1.714962312391859
104,California,CA,5,2012,17.0,7.2,1.7125031278986422,0.4241082721983304,2.765476115186778,10.709130692499615,1.8205522177249347
105,Colorado,CO,6,2012,13.7,5.3,2.32814383685238,0.30857094657118034,2.6820617692671966,7.695220191897431,1.0542451662899481
106,Connecticut,CT,7,2012,10.7,6.6,1.8892227588066035,0.2826503590021218,2.1375155200363216,18.086115586571683,1.9352143677631701
107,Delaware,DE,8,2012,12.0,5.6,2.516556870295319,0.5485265723973124,3.3478696517293334,16.7486451648621,2.009837419783452
108,Florida,FL,10,2012,17.1,6.8,2.190086671957074,0.4875524294917841,3.280100728465627,6.54955861725064,1.1199745235498597
109,Georgia,GA,11,2012,19.2,6.9,5.6302130752830655,0.37965223205133,3.416971083974739,5.448034610488922,1.0460226452138732
110,Hawaii,HI,12,2012,11.6,4.4,2.077998055640793,0.23874322126979847,3.0697503018345227,12.447509619198506,1.4439111158270266
111,Idaho,ID,13,2012,15.9,5.1,2.8384804967517567,0.2079828298201494,1.9839856982029982,8.026117491892068,1.2761526812108386
112,Illinois,IL,14,2012,14.7,6.7,1.7336226884357164,0.41453878165047026,2.577238441887489,10.696906115345534,1.5724451989557935
113,Indiana,IN,15,2012,15.6,5.6,2.6870759500699255,0.34571775438559993,3.029076114347807,8.531551525053983,1.3309220379084215
114,Iowa,IA,16,2012,12.7,3.6,1.4699901729086955,0.26370282719858007,2.2703084009765324,12.297720876880806,1.5618105513638625
115,Kansas,KS,17,2012,14.0,4.3,1.2614668086759688,0.3546304540635375,3.1439140430124595,7.664996814594232,1.0730995540431927
116,Kentucky,KY,18,2012,19.4,5.5,2.4248096844161404,0.22232628251396494,2.5494112867521164,8.452296256676664,1.6397454737952728
117,Louisiana,LA,19,2012,19.9,5.4,2.689909425660491,0.4970254111522522,3.541338656266545,6.907012224644322,1.3744954327042198
